
> @hatef/partner-web@0.1.0 dev E:\github\hatef-new version\frontend\partner-web
> dotenv -e ../../.env -- next dev --webpack --port 3001

▲ Next.js 16.2.11 (webpack)
- Local:         http://localhost:3001
- Network:       http://192.168.100.66:3001
✓ Ready in 5.4s

 GET /login 200 in 105ms (next.js: 4ms, proxy.ts: 6ms, application-code: 96ms)
 GET /login 200 in 60ms (next.js: 3ms, proxy.ts: 5ms, application-code: 52ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 4ms, application-code: 54ms)
 GET /login 200 in 62ms (next.js: 3ms, proxy.ts: 5ms, application-code: 54ms)
 GET /login 200 in 79ms (next.js: 4ms, proxy.ts: 6ms, application-code: 70ms)
 GET /login 200 in 77ms (next.js: 3ms, proxy.ts: 6ms, application-code: 68ms)
 GET /login 200 in 210ms (next.js: 8ms, proxy.ts: 12ms, application-code: 190ms)
 GET /login 200 in 90ms (next.js: 6ms, proxy.ts: 7ms, application-code: 76ms)
 GET /login 200 in 99ms (next.js: 4ms, proxy.ts: 7ms, application-code: 88ms)
 GET /login 200 in 79ms (next.js: 3ms, proxy.ts: 6ms, application-code: 69ms)
 GET /login 200 in 76ms (next.js: 3ms, proxy.ts: 5ms, application-code: 67ms)
 GET /login 200 in 79ms (next.js: 3ms, proxy.ts: 7ms, application-code: 69ms)
 GET /login 200 in 76ms (next.js: 3ms, proxy.ts: 7ms, application-code: 67ms)
 GET /login 200 in 82ms (next.js: 5ms, proxy.ts: 11ms, application-code: 67ms)
 GET /login 200 in 95ms (next.js: 6ms, proxy.ts: 8ms, application-code: 82ms)
 GET /login 200 in 85ms (next.js: 4ms, proxy.ts: 9ms, application-code: 72ms)
 GET /login 200 in 67ms (next.js: 3ms, proxy.ts: 6ms, application-code: 58ms)
 GET /login 200 in 63ms (next.js: 3ms, proxy.ts: 6ms, application-code: 54ms)
 GET /login 200 in 109ms (next.js: 4ms, proxy.ts: 6ms, application-code: 99ms)
